"MouseGene","MUSENSG","HumanGene"
"Acta2","ENSMUSG00000035783","ACTA2"
"Acvr1","ENSMUSG00000026836","ACVR1"
"Acvr1b","ENSMUSG00000000532","ACVR1B"
"Acvr2a","ENSMUSG00000052155","ACVR2A"
"Acvr2b","ENSMUSG00000061393","ACVR2B"
"Acvrl1","ENSMUSG00000000530","ACVRL1"
"Aspa","ENSMUSG00000020774","ASPA"
"Ada","ENSMUSG00000017697","ADA"
"Adam10","ENSMUSG00000054693","ADAM10"
"Adam11","ENSMUSG00000020926","ADAM11"
"Adam12","ENSMUSG00000054555","ADAM12"
"Adam15","ENSMUSG00000028041","ADAM15"
"Adam17","ENSMUSG00000052593","ADAM17"
"Adam19","ENSMUSG00000011256","ADAM19"
"Adam2","ENSMUSG00000022039","ADAM2"
"Adam22","ENSMUSG00000040537","ADAM22"
"Adam7","ENSMUSG00000022056","ADAM7"
"Adam8","ENSMUSG00000025473","ADAM8"
"Adam9","ENSMUSG00000031555","ADAM9"
"Adamts1","ENSMUSG00000022893","ADAMTS1"
"Adcy6","ENSMUSG00000022994","ADCY6"
"Adcy7","ENSMUSG00000031659","ADCY7"
"Adcy8","ENSMUSG00000022376","ADCY8"
"Adcy9","ENSMUSG00000005580","ADCY9"
"Adcyap1","ENSMUSG00000024256","ADCYAP1"
"Adcyap1r1","ENSMUSG00000029778","ADCYAP1R1"
"Add1","ENSMUSG00000029106","ADD1"
"Add2","ENSMUSG00000030000","ADD2"
"Plin2","ENSMUSG00000028494","PLIN2"
"Adh1","ENSMUSG00000074207","ADH1C"
"Adh7","ENSMUSG00000055301","ADH7"
"Adh5","ENSMUSG00000028138","ADH5"
"Adk","ENSMUSG00000039197","ADK"
"Adm","ENSMUSG00000030790","ADM"
"Gpr182","ENSMUSG00000058396","GPR182"
"Cfd","ENSMUSG00000061780","CFD"
"Adnp","ENSMUSG00000051149","ADNP"
"Adora1","ENSMUSG00000042429","ADORA1"
"Adora2a","ENSMUSG00000020178","ADORA2A"
"Adora2b","ENSMUSG00000018500","ADORA2B"
"Adora3","ENSMUSG00000000562","ADORA3"
"Adprh","ENSMUSG00000002844","ADPRH"
"Parp1","ENSMUSG00000026496","PARP1"
"Parp2","ENSMUSG00000036023","PARP2"
"Adra1b","ENSMUSG00000050541","ADRA1B"
"Adra1a","ENSMUSG00000045875","ADRA1A"
"Adra1d","ENSMUSG00000027335","ADRA1D"
"Adra2a","ENSMUSG00000033717","ADRA2A"
"Adra2b","ENSMUSG00000058620","ADRA2B"
"Adra2c","ENSMUSG00000045318","ADRA2C"
"Adrb1","ENSMUSG00000035283","ADRB1"
"Adrb2","ENSMUSG00000045730","ADRB2"
"Adrb3","ENSMUSG00000031489","ADRB3"
"Adsl","ENSMUSG00000022407","ADSL"
"Adssl1","ENSMUSG00000011148","ADSSL1"
"Adss","ENSMUSG00000015961","ADSS"
"Avil","ENSMUSG00000025432","AVIL"
"Aebp1","ENSMUSG00000020473","AEBP1"
"Aebp2","ENSMUSG00000030232","AEBP2"
"Afp","ENSMUSG00000054932","AFP"
"Aga","ENSMUSG00000031521","AGA"
"Ager","ENSMUSG00000015452","AGER"
"Angpt1","ENSMUSG00000022309","ANGPT1"
"Angpt2","ENSMUSG00000031465","ANGPT2"
"Angpt4","ENSMUSG00000027460","ANGPT4"
"Agrn","ENSMUSG00000041936","AGRN"
"Agrp","ENSMUSG00000005705","AGRP"
"Gla","ENSMUSG00000031266","GLA"
"Agt","ENSMUSG00000031980","AGT"
"Agtr1a","ENSMUSG00000049115","AGTR1"
"Agtr2","ENSMUSG00000068122","AGTR2"
"Agtrap","ENSMUSG00000029007","AGTRAP"
"Agxt","ENSMUSG00000026272","AGXT"
"Nr0b1","ENSMUSG00000025056","NR0B1"
"Ahr","ENSMUSG00000019256","AHR"
"Ahrr","ENSMUSG00000021575","AHRR"
"Ahsg","ENSMUSG00000022868","AHSG"
"Aicda","ENSMUSG00000040627","AICDA"
"Aif1","ENSMUSG00000024397","AIF1"
"Crybg1","ENSMUSG00000019866","CRYBG1"
"Aip","ENSMUSG00000024847","AIP"
"Aire","ENSMUSG00000000731","AIRE"
"Ak1","ENSMUSG00000026817","AK1"
"Ak2","ENSMUSG00000028792","AK2"
"Ak4","ENSMUSG00000028527","AK4"
"Akap1","ENSMUSG00000018428","AKAP1"
"Akap2","ENSMUSG00000038729","AKAP2"
"Akap3","ENSMUSG00000030344","AKAP3"
"Akap4","ENSMUSG00000050089","AKAP4"
"Alpl","ENSMUSG00000028766","ALPL"
"Akp3","ENSMUSG00000036500","ALPI"
"Alppl2","ENSMUSG00000026246","ALPPL2"
"Akt1","ENSMUSG00000001729","AKT1"
"Akt2","ENSMUSG00000004056","AKT2"
"Alas1","ENSMUSG00000032786","ALAS1"
"Alas2","ENSMUSG00000025270","ALAS2"
"Alb","ENSMUSG00000029368","ALB"
"Alcam","ENSMUSG00000022636","ALCAM"
"Abcd1","ENSMUSG00000031378","ABCD1"
"Aldh1a1","ENSMUSG00000053279","ALDH1A1"
"Aldh2","ENSMUSG00000029455","ALDH2"
"Aldh3a1","ENSMUSG00000019102","ALDH3A1"
"Aldh3a2","ENSMUSG00000010025","ALDH3A2"
"Aldoa","ENSMUSG00000030695","ALDOA"
"Aldoc","ENSMUSG00000017390","ALDOC"
"Akr1b3","ENSMUSG00000001642","AKR1B1"
"Alk","ENSMUSG00000055471","ALK"
"Alox12","ENSMUSG00000000320","ALOX12"
"Alox12b","ENSMUSG00000032807","ALOX12B"
"Alox15","ENSMUSG00000018924","ALOX15"
"Alox8","ENSMUSG00000020891","ALOX15B"
"Alox5","ENSMUSG00000025701","ALOX5"
"Alox5ap","ENSMUSG00000060063","ALOX5AP"
"Gfer","ENSMUSG00000040888","GFER"
"Alx3","ENSMUSG00000014603","ALX3"
"Alx4","ENSMUSG00000040310","ALX4"
"Ambn","ENSMUSG00000029288","AMBN"
"Ambp","ENSMUSG00000028356","AMBP"
"Amd1","ENSMUSG00000075232","AMD1"
"Amelx","ENSMUSG00000031354","AMELY"
"Amh","ENSMUSG00000035262","AMH"
"Ampd3","ENSMUSG00000005686","AMPD3"
"Mat1a","ENSMUSG00000037798","MAT1A"
"Amy1","ENSMUSG00000074264","AMY2A"
"Ang","ENSMUSG00000072115","ANG"
"Ank","ENSMUSG00000022265","ANKH"
"Ank1","ENSMUSG00000031543","ANK1"
"Ank3","ENSMUSG00000069601","ANK3"
"Ankfy1","ENSMUSG00000020790","ANKFY1"
"Slc25a4","ENSMUSG00000031633","SLC25A4"
"Slc25a5","ENSMUSG00000016319","SLC25A5"
"Anxa11","ENSMUSG00000021866","ANXA11"
"Anxa3","ENSMUSG00000029484","ANXA3"
"Anxa4","ENSMUSG00000029994","ANXA4"
"Anxa5","ENSMUSG00000027712","ANXA5"
"Anxa6","ENSMUSG00000018340","ANXA6"
"Anxa7","ENSMUSG00000021814","ANXA7"
"Aoc3","ENSMUSG00000019326","AOC3"
"Prdx3","ENSMUSG00000024997","PRDX3"
"Prdx6","ENSMUSG00000026701","PRDX6"
"Aox1","ENSMUSG00000063558","AOX1"
"Ap1b1","ENSMUSG00000009090","AP1B1"
"Ap1g1","ENSMUSG00000031731","AP1G1"
"Ap1g2","ENSMUSG00000040701","AP1G2"
"Ap1m1","ENSMUSG00000003033","AP1M1"
"Ap1m2","ENSMUSG00000003309","AP1M2"
"Ap1s1","ENSMUSG00000004849","AP1S1"
"Fabp4","ENSMUSG00000062515","FABP4"
"Ap2a1","ENSMUSG00000060279","AP2A1"
"Ap2a2","ENSMUSG00000002957","AP2A2"
"Ap2m1","ENSMUSG00000022841","AP2M1"
"Ap3b1","ENSMUSG00000021686","AP3B1"
"Ap3b2","ENSMUSG00000062444","AP3B2"
"Ap3d1","ENSMUSG00000020198","AP3D1"
"Ap3s1","ENSMUSG00000024480","AP3S1"
"Ap3s2","ENSMUSG00000063801","AP3S2"
"Ap4m1","ENSMUSG00000019518","AP4M1"
"Ap4s1","ENSMUSG00000020955","AP4S1"
"Apaf1","ENSMUSG00000019979","APAF1"
"Apba2","ENSMUSG00000030519","APBA2"
"Apbb1","ENSMUSG00000037032","APBB1"
"Apbb2","ENSMUSG00000029207","APBB2"
"Apc","ENSMUSG00000005871","APC"
"Speg","ENSMUSG00000026207","SPEG"
"Apex1","ENSMUSG00000035960","APEX1"
"Atg5","ENSMUSG00000038160","ATG5"
"Birc3","ENSMUSG00000032000","BIRC3"
"Birc2","ENSMUSG00000057367","BIRC2"
"Xiap","ENSMUSG00000025860","XIAP"
"Birc5","ENSMUSG00000017716","BIRC5"
"Api5","ENSMUSG00000027193","API5"
"Cd5l","ENSMUSG00000015854","CD5L"
"Aplp1","ENSMUSG00000006651","APLP1"
"Aplp2","ENSMUSG00000031996","APLP2"
"Apoa1","ENSMUSG00000032083","APOA1"
"Apoa2","ENSMUSG00000005681","APOA2"
"Apoa4","ENSMUSG00000032080","APOA4"
"Apobec1","ENSMUSG00000040613","APOBEC1"
"Apobec2","ENSMUSG00000040694","APOBEC2"
"Apoc2","ENSMUSG00000002992","APOC2"
"Apod","ENSMUSG00000022548","APOD"
"Apoe","ENSMUSG00000002985","APOE"
"Apoh","ENSMUSG00000000049","APOH"
"Nr2f2","ENSMUSG00000030551","NR2F2"
"App","ENSMUSG00000022892","APP"
"Aprt","ENSMUSG00000006589","APRT"
"Aqp1","ENSMUSG00000004655","AQP1"
"Aqp2","ENSMUSG00000023013","AQP2"
"Aqp3","ENSMUSG00000028435","AQP3"
"Aqp4","ENSMUSG00000024411","AQP4"
"Aqp5","ENSMUSG00000044217","AQP5"
"Aqp6","ENSMUSG00000043144","AQP6"
"Aqp7","ENSMUSG00000028427","AQP7"
"Aqp8","ENSMUSG00000030762","AQP8"
"Aqr","ENSMUSG00000040383","AQR"
"Ar","ENSMUSG00000046532","AR"
"Araf","ENSMUSG00000001127","ARAF"
"Rplp0","ENSMUSG00000067274","RPLP0"
"Arc","ENSMUSG00000022602","ARC"
"Areg","ENSMUSG00000029378","AREG"
"Arf1","ENSMUSG00000048076","ARF1"
"Arf3","ENSMUSG00000051853","ARF3"
"Arf4","ENSMUSG00000021877","ARF4"
"Arf5","ENSMUSG00000020440","ARF5"
"Arf6","ENSMUSG00000044147","ARF6"
"Arg1","ENSMUSG00000019987","ARG1"
"Arg2","ENSMUSG00000021125","ARG2"
"Rhoa","ENSMUSG00000007815","RHOA"
"Rhob","ENSMUSG00000054364","RHOB"
"Rhoc","ENSMUSG00000002233","RHOC"
"Rhod","ENSMUSG00000041845","RHOD"
"Arhgap5","ENSMUSG00000035133","ARHGAP5"
"Arhgap6","ENSMUSG00000031355","ARHGAP6"
"Arhgdib","ENSMUSG00000030220","ARHGDIB"
"Rnd2","ENSMUSG00000001313","RND2"
"Phox2a","ENSMUSG00000007946","PHOX2A"
"Arl4a","ENSMUSG00000047446","ARL4A"
"Arnt","ENSMUSG00000015522","ARNT"
"Arnt2","ENSMUSG00000015709","ARNT2"
"Arntl","ENSMUSG00000055116","ARNTL"
"Arpc1b","ENSMUSG00000029622","ARPC1B"
"Art1","ENSMUSG00000030996","ART1"
"Art5","ENSMUSG00000070424","ART5"
"Artn","ENSMUSG00000028539","ARTN"
"Arvcf","ENSMUSG00000000325","ARVCF"
"Arx","ENSMUSG00000035277","ARX"
"Arsb","ENSMUSG00000042082","ARSB"
"Arsa","ENSMUSG00000022620","ARSA"
"Asah1","ENSMUSG00000031591","ASAH1"
"Asgr1","ENSMUSG00000020884","ASGR1"
"Asgr2","ENSMUSG00000040963","ASGR2"
"Rab27a","ENSMUSG00000032202","RAB27A"
"Ass1","ENSMUSG00000076441","ASS1"
"Astn1","ENSMUSG00000026587","ASTN1"
"Serpinc1","ENSMUSG00000026715","SERPINC1"
"Zfhx3","ENSMUSG00000038872","ZFHX3"
"Ate1","ENSMUSG00000030850","ATE1"
"Atf1","ENSMUSG00000023027","ATF1"
"Atf2","ENSMUSG00000027104","ATF2"
"Atf3","ENSMUSG00000026628","ATF3"
"Atf4","ENSMUSG00000042406","ATF4"
"Atm","ENSMUSG00000034218","ATM"
"Atoh1","ENSMUSG00000073043","ATOH1"
"Neurod6","ENSMUSG00000037984","NEUROD6"
"Neurod4","ENSMUSG00000048015","NEUROD4"
"Neurog2","ENSMUSG00000027967","NEUROG2"
"Neurog3","ENSMUSG00000044312","NEUROG3"
"Atox1","ENSMUSG00000018585","ATOX1"
"Atp1a1","ENSMUSG00000033161","ATP1A1"
"Atp1b1","ENSMUSG00000026576","ATP1B1"
"Atp1b2","ENSMUSG00000041329","ATP1B2"
"Atp1b3","ENSMUSG00000032412","ATP1B3"
"Atp2a1","ENSMUSG00000030730","ATP2A1"
"Atp2a2","ENSMUSG00000029467","ATP2A2"
"Atp2b2","ENSMUSG00000030302","ATP2B2"
"Atp4a","ENSMUSG00000005553","ATP4A"
"Atp4b","ENSMUSG00000031449","ATP4B"
"Atp5a1","ENSMUSG00000025428","ATP5A1"
"Atp5b","ENSMUSG00000025393","ATP5B"
"Atp5c1","ENSMUSG00000025781","ATP5C1"
"Atp5f1","ENSMUSG00000000563","ATP5F1"
"Atp5g1","ENSMUSG00000006057","ATP5G1"
"Atp5j","ENSMUSG00000022890","ATP5J"
"Atp6v1a","ENSMUSG00000052459","ATP6V1A"
"Atp6v1b2","ENSMUSG00000006273","ATP6V1B2"
"Atp6v0d1","ENSMUSG00000013160","ATP6V0D1"
"Atp6v1e1","ENSMUSG00000019210","ATP6V1E1"
"Atp6v0e","ENSMUSG00000015575","ATP6V0E1"
"Atp6v0a1","ENSMUSG00000019302","ATP6V0A1"
"Atp7a","ENSMUSG00000033792","ATP7A"
"Atp7b","ENSMUSG00000006567","ATP7B"
"Atp8a1","ENSMUSG00000037685","ATP8A1"
"Atp9a","ENSMUSG00000027546","ATP9A"
"Atp10a","ENSMUSG00000025324","ATP10A"
"Atpif1","ENSMUSG00000054428","ATPIF1"
"Atp6v0c","ENSMUSG00000024121","ATP6V0C"
"Slc7a1","ENSMUSG00000041313","SLC7A1"
"Slc7a2","ENSMUSG00000031596","SLC7A2"
"Slc7a3","ENSMUSG00000031297","SLC7A3"
"Atrn","ENSMUSG00000027312","ATRN"
"Hnrnpd","ENSMUSG00000000568","HNRNPD"
"Auh","ENSMUSG00000021460","AUH"
"Aup1","ENSMUSG00000068328","AUP1"
"Pcdh15","ENSMUSG00000052613","PCDH15"
"Avp","ENSMUSG00000037727","AVP"
"Avpr2","ENSMUSG00000031390","AVPR2"
"Axin1","ENSMUSG00000024182","AXIN1"
"Axin2","ENSMUSG00000000142","AXIN2"
"Azgp1","ENSMUSG00000037053","AZGP1"
"Cep131","ENSMUSG00000039781","CEP131"
"B2m","ENSMUSG00000060802","B2M"
"Baat","ENSMUSG00000039653","BAAT"
"Bach1","ENSMUSG00000025612","BACH1"
"Bach2","ENSMUSG00000040270","BACH2"
"Bad","ENSMUSG00000024959","BAD"
"Bag1","ENSMUSG00000028416","BAG1"
"Bak1","ENSMUSG00000057789","BAK1"
"Nkx3-2","ENSMUSG00000049691","NKX3-2"
"Bard1","ENSMUSG00000026196","BARD1"
"Barx1","ENSMUSG00000021381","BARX1"
"Barx2","ENSMUSG00000032033","BARX2"
"Bax","ENSMUSG00000003873","BAX"
"Bcl6b","ENSMUSG00000000317","BCL6B"
"Bcan","ENSMUSG00000004892","BCAN"
"Bcap29","ENSMUSG00000020650","BCAP29"
"Phb2","ENSMUSG00000004264","PHB2"
"Bcat1","ENSMUSG00000030268","BCAT1"
"Bcat2","ENSMUSG00000030826","BCAT2"
"Bche","ENSMUSG00000027792","BCHE"
"Bckdha","ENSMUSG00000060376","BCKDHA"
"Bckdhb","ENSMUSG00000032263","BCKDHB"
"Bckdk","ENSMUSG00000030802","BCKDK"
"Bcl10","ENSMUSG00000028191","BCL10"
"Bcl2","ENSMUSG00000057329","BCL2"
"Bcl2a1a","ENSMUSG00000102037","BCL2A1"
"Bcl2a1b","ENSMUSG00000089929","BCL2A1"
"Bcl2a1d","ENSMUSG00000099974","BCL2A1"
"Bcl2l1","ENSMUSG00000007659","BCL2L1"
"Bcl2l10","ENSMUSG00000032191","BCL2L10"
"Bcl2l2","ENSMUSG00000089682","BCL2L2"
"Bcl3","ENSMUSG00000053175","BCL3"
"Bcl6","ENSMUSG00000022508","BCL6"
"Bcl7b","ENSMUSG00000029681","BCL7B"
"Bcl7c","ENSMUSG00000030814","BCL7C"
"Opn1sw","ENSMUSG00000058831","OPN1SW"
"Bdkrb1","ENSMUSG00000041347","BDKRB1"
"Bdkrb2","ENSMUSG00000021070","BDKRB2"
"Bdnf","ENSMUSG00000048482","BDNF"
"Bet1","ENSMUSG00000032757","BET1"
"Bex2","ENSMUSG00000042750","BEX1"
"Bex3","ENSMUSG00000046432","BEX3"
"Bfsp1","ENSMUSG00000027420","BFSP1"
"Glb1","ENSMUSG00000045594","GLB1"
"Bglap3","ENSMUSG00000074489","BGLAP"
"Bglap","ENSMUSG00000074483","BGLAP"
"Bglap2","ENSMUSG00000074486","BGLAP"
"Bgn","ENSMUSG00000031375","BGN"
"Bhmt","ENSMUSG00000074768","BHMT"
"Bicd1","ENSMUSG00000003452","BICD1"
"Bid","ENSMUSG00000004446","BID"
"Bik","ENSMUSG00000016758","BIK"
"Bcl2l11","ENSMUSG00000027381","BCL2L11"
"Fabp7","ENSMUSG00000019874","FABP7"
"Prdm1","ENSMUSG00000038151","PRDM1"
"Blk","ENSMUSG00000014453","BLK"
"Blm","ENSMUSG00000030528","BLM"
"Cxcr5","ENSMUSG00000047880","CXCR5"
"Bmi1","ENSMUSG00000026739","COMMD3-BMI1"
"Bmp1","ENSMUSG00000022098","BMP1"
"Bmp10","ENSMUSG00000030046","BMP10"
"Bmp15","ENSMUSG00000023279","BMP15"
"Bmp2","ENSMUSG00000027358","BMP2"
"Bmp4","ENSMUSG00000021835","BMP4"
"Bmp5","ENSMUSG00000032179","BMP5"
"Bmp6","ENSMUSG00000039004","BMP6"
"Bmp7","ENSMUSG00000008999","BMP7"
"Bmp8a","ENSMUSG00000032726","BMP8A"
"Gdf2","ENSMUSG00000072625","GDF2"
"Bmpr1a","ENSMUSG00000021796","BMPR1A"
"Bmpr1b","ENSMUSG00000052430","BMPR1B"
"Bmpr2","ENSMUSG00000067336","BMPR2"
"Bmx","ENSMUSG00000031377","BMX"
"Bnc1","ENSMUSG00000025105","BNC1"
"Bnip2","ENSMUSG00000011958","BNIP2"
"Bnip3","ENSMUSG00000078566","BNIP3"
"Bnip3l","ENSMUSG00000022051","BNIP3L"
"Smyd1","ENSMUSG00000055027","SMYD1"
"Bop1","ENSMUSG00000022557","BOP1"
"Bst1","ENSMUSG00000029082","BST1"
"Bpgm","ENSMUSG00000038871","BPGM"
"Brca1","ENSMUSG00000017146","BRCA1"
"Brca2","ENSMUSG00000041147","BRCA2"
"Zfp36l1","ENSMUSG00000021127","ZFP36L1"
"Zfp36l2","ENSMUSG00000045817","ZFP36L2"
"Brs3","ENSMUSG00000031130","BRS3"
"Birc6","ENSMUSG00000024073","BIRC6"
"Chic1","ENSMUSG00000031327","CHIC1"
"Bsg","ENSMUSG00000023175","BSG"
"Bsn","ENSMUSG00000032589","BSN"
"Btc","ENSMUSG00000082361","BTC"
"Klf5","ENSMUSG00000005148","KLF5"
"Btg1","ENSMUSG00000036478","BTG1"
"Btg2","ENSMUSG00000020423","BTG2"
"Btg3","ENSMUSG00000022863","BTG3"
"Btk","ENSMUSG00000031264","BTK"
"Btn1a1","ENSMUSG00000000706","BTN1A1"
"Btrc","ENSMUSG00000025217","BTRC"
"Bub1","ENSMUSG00000027379","BUB1"
"Bub1b","ENSMUSG00000040084","BUB1B"
"Bub3","ENSMUSG00000066979","BUB3"
"Commd3","ENSMUSG00000051154","COMMD3"
"Tspo","ENSMUSG00000041736","TSPO"
"Serping1","ENSMUSG00000023224","SERPING1"
"C1qa","ENSMUSG00000036887","C1QA"
"C1qb","ENSMUSG00000036905","C1QB"
"C1qbp","ENSMUSG00000018446","C1QBP"
"C1qc","ENSMUSG00000036896","C1QC"
"C2","ENSMUSG00000024371","C2"
"Ciita","ENSMUSG00000022504","CIITA"
"C3","ENSMUSG00000024164","C3"
"C3ar1","ENSMUSG00000040552","C3AR1"
"C5ar1","ENSMUSG00000049130","C5AR1"
"C6","ENSMUSG00000022181","C6"
"C9","ENSMUSG00000022149","C9"
"Hyou1","ENSMUSG00000032115","HYOU1"
"Cab39","ENSMUSG00000036707","CAB39"
"Cacna1a","ENSMUSG00000034656","CACNA1A"
"Cacna1b","ENSMUSG00000004113","CACNA1B"
"Cacna1c","ENSMUSG00000051331","CACNA1C"
"Cacna1d","ENSMUSG00000015968","CACNA1D"
"Cacna1e","ENSMUSG00000004110","CACNA1E"
"Cacna1g","ENSMUSG00000020866","CACNA1G"
"Cacna1s","ENSMUSG00000026407","CACNA1S"
"Cacna2d1","ENSMUSG00000040118","CACNA2D1"
"Cacna2d3","ENSMUSG00000021991","CACNA2D3"
"Cacnb1","ENSMUSG00000020882","CACNB1"
"Cacnb2","ENSMUSG00000057914","CACNB2"
"Cacnb3","ENSMUSG00000003352","CACNB3"
"Cacnb4","ENSMUSG00000017412","CACNB4"
"Cacng1","ENSMUSG00000020722","CACNG1"
"Cacng2","ENSMUSG00000019146","CACNG2"
"Cacybp","ENSMUSG00000014226","CACYBP"
"Pdia4","ENSMUSG00000025823","PDIA4"
"Ddr1","ENSMUSG00000003534","DDR1"
"Anxa2","ENSMUSG00000032231","ANXA2"
"Calb1","ENSMUSG00000028222","CALB1"
"Calb2","ENSMUSG00000003657","CALB2"
"S100g","ENSMUSG00000040808","S100G"
"Calca","ENSMUSG00000030669","CALCB"
"Calcr","ENSMUSG00000023964","CALCR"
"Aspm","ENSMUSG00000033952","ASPM"
"Calr","ENSMUSG00000003814","CALR"
"Car8","ENSMUSG00000041261","CA8"
"Calu","ENSMUSG00000029767","CALU"
"Camk2a","ENSMUSG00000024617","CAMK2A"
"Camk2b","ENSMUSG00000057897","CAMK2B"
"Camk2g","ENSMUSG00000021820","CAMK2G"
"Camk4","ENSMUSG00000038128","CAMK4"
"Caml","ENSMUSG00000021501","CAMLG"
"Canx","ENSMUSG00000020368","CANX"
"Cap1","ENSMUSG00000028656","CAP1"
"Capg","ENSMUSG00000056737","CAPG"
"Capn1","ENSMUSG00000024942","CAPN1"
"Capn2","ENSMUSG00000026509","CAPN2"
"Capn3","ENSMUSG00000079110","CAPN3"
"Capns1","ENSMUSG00000001794","CAPNS1"
"Capn5","ENSMUSG00000035547","CAPN5"
"Capn6","ENSMUSG00000067276","CAPN6"
"Capn7","ENSMUSG00000021893","CAPN7"
"Capza1","ENSMUSG00000070372","CAPZA1"
"Capza2","ENSMUSG00000015733","CAPZA2"
"Capza3","ENSMUSG00000041791","CAPZA3"
"Capzb","ENSMUSG00000028745","CAPZB"
"Car1","ENSMUSG00000027556","CA1"
"Car11","ENSMUSG00000003273","CA11"
"Car2","ENSMUSG00000027562","CA2"
"Car3","ENSMUSG00000027559","CA3"
"Car4","ENSMUSG00000000805","CA4"
"Car5a","ENSMUSG00000025317","CA5A"
"Car6","ENSMUSG00000028972","CA6"
"Car7","ENSMUSG00000031883","CA7"
"Nr1i3","ENSMUSG00000005677","NR1I3"
"Cat","ENSMUSG00000027187","CAT"
"Cask","ENSMUSG00000031012","CASK"
"Casp1","ENSMUSG00000025888","CASP1"
"Casp4","ENSMUSG00000033538","CASP4"
"Casp14","ENSMUSG00000005355","CASP14"
"Casp2","ENSMUSG00000029863","CASP2"
"Casp3","ENSMUSG00000031628","CASP3"
"Casp6","ENSMUSG00000027997","CASP6"
"Casp7","ENSMUSG00000025076","CASP7"
"Casp8","ENSMUSG00000026029","CASP8"
"Casp9","ENSMUSG00000028914","CASP9"
"Casq1","ENSMUSG00000007122","CASQ1"
"Casq2","ENSMUSG00000027861","CASQ2"
"Casr","ENSMUSG00000051980","CASR"
"Cast","ENSMUSG00000021585","CAST"
"Ctnna1","ENSMUSG00000037815","CTNNA1"
"Ctnna2","ENSMUSG00000063063","CTNNA2"
"Ctnnb1","ENSMUSG00000006932","CTNNB1"
"Ctnnd1","ENSMUSG00000034101","CTNND1"
"Cav1","ENSMUSG00000007655","CAV1"
"Cav2","ENSMUSG00000000058","CAV2"
"Cav3","ENSMUSG00000062694","CAV3"
"Runx2","ENSMUSG00000039153","RUNX2"
"Runx1","ENSMUSG00000022952","RUNX1"
"Runx1t1","ENSMUSG00000006586","RUNX1T1"
"Cbfa2t2","ENSMUSG00000038533","CBFA2T2"
"Cbfa2t3","ENSMUSG00000006362","CBFA2T3"
"Runx3","ENSMUSG00000070691","RUNX3"
"Cbfb","ENSMUSG00000031885","CBFB"
"Serpina6","ENSMUSG00000060807","SERPINA6"
"Cbl","ENSMUSG00000034342","CBL"
"Cbln1","ENSMUSG00000031654","CBLN1"
"Cbln2","ENSMUSG00000024647","CBLN2"
"Serpinh1","ENSMUSG00000070436","SERPINH1"
"Cbr1","ENSMUSG00000051483","CBR1"
"Cbx1","ENSMUSG00000018666","CBX1"
"Cbx2","ENSMUSG00000025577","CBX2"
"Cbx3","ENSMUSG00000029836","CBX3"
"Cbx4","ENSMUSG00000039989","CBX4"
"Cbx5","ENSMUSG00000009575","CBX5"
"Rb1cc1","ENSMUSG00000025907","RB1CC1"
"Cck","ENSMUSG00000032532","CCK"
"Cckar","ENSMUSG00000029193","CCKAR"
"Cckbr","ENSMUSG00000030898","CCKBR"
